								
Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
NH3v=0	Ammonia	10.09838500, 10.09838500	17(11)0a-17(11)0s	-9.4918		2559.462	3682.4737	JPL
NH3v=0	Ammonia	10.11698340, 10.11698340	32(26)0a-32(26)0s	-19.864		7755.3539	11158.1601	JPL
NH3v=0	Ammonia	10.29365900, 10.29365900	12(4)0a-12(4)0s	-7.9375		1475.0398	2122.241	JPL
NH3v=0	Ammonia	10.39715000, 10.39715000	16(10)0a-16(10)0s	-8.9903		2304.6234	3315.8199	JPL
NH3v=0	Ammonia	10.42694900, 10.42694900	13(6)0a-13(-6)0s	-7.6881		1657.2864	2384.4517	JPL
NH3v=0	Ammonia	10.46597830, 10.46597830	16(3)0a-16(-3)0s	-10.3714		2616.2006	3764.1074	JPL
NH3v=0	Ammonia	10.48178300, 10.48178300	11(1)0a-11(1)0s	-8.7121		1294.4025	1862.3458	JPL
NH3v=0	Ammonia	10.53618300, 10.53618300	11(3)0a-11(-3)0s	-7.3948		1266.144	1821.6883	JPL
NH3v=0	Ammonia	10.75453000, 10.75453000	15(9)0a-15(-9)0s	-8.2161		2061.646	2966.2317	JPL
NH3v=0	Ammonia	10.75977100, 10.75977100	11(2)0a-11(2)0s	-8.0658		1283.813	1847.1099	JPL
NH3v=0	Ammonia	10.83612700, 10.83612700	12(3)0a-12(-3)0s	-7.8918		1499.611	2157.5933	JPL
NH3v=0	Ammonia	11.13272200, 11.13272200	12(5)0a-12(5)0s	-7.6109		1443.3121	2076.5922	JPL
NH3v=0	Ammonia	11.17726800, 11.17726800	14(8)0a-14(8)0s	-8.0741		1830.5797	2633.7807	JPL
NH3v=0	Ammonia	11.67317100, 11.67317100	13(7)0a-13(7)0s	-7.6638		1611.4706	2318.5334	JPL
NH3v=0	Ammonia	11.94724400, 11.94724400	11(4)0a-11(4)0s	-7.2863		1241.3132	1785.9625	JPL
NH3v=0	Ammonia	12.01717200, 12.01717200	10(1)0a-10(1)0s	-8.1083		1079.8335	1553.6306	JPL
NH3v=0	Ammonia	12.16854000, 12.16854000	19(14)0a-19(14)0s	-10.116		3010.7195	4331.7289	JPL
NH3v=0	Ammonia	12.17665410, 12.17665410	20(15)0a-20(15)0s	-10.3702		3294.1596	4739.5336	JPL
NH3v=0	Ammonia	12.21181000, 12.21181000	18(13)0a-18(13)0s	-9.5851		2738.9961	3940.7817	JPL
NH3v=0	Ammonia	12.23440030, 12.23440030	21(16)0a-21(16)0s	-11.2505		3589.2445	5164.0925	JPL
NH3v=0	Ammonia	12.25052640, 12.25052640	19(-3)0s-19(3)0a	-12.4572		3639.0827	5235.7981	JPL
NH3v=0	Ammonia	12.25133000, 12.25133000	12(6)0a-12(-6)0s	-6.9891		1404.3607	2020.5502	JPL
NH3v=0	Ammonia	12.30847800, 12.30847800	17(12)0a-17(12)0s	-8.7783		2479.0555	3566.7874	JPL
NH3v=0	Ammonia	12.33646200, 12.33646200	10(2)0a-10(2)0s	-7.4617		1069.1529	1538.2637	JPL
NH3v=0	Ammonia	12.34044520, 12.34044520	22(17)0a-22(17)0s	-11.853		3895.8946	5605.2911	JPL
NH3v=0	Ammonia	12.46146600, 12.46146600	16(11)0a-16(11)0s	-8.5994		2230.9586	3209.8333	JPL
NH3v=0	Ammonia	12.49350690, 12.49350690	23(18)0a-23(18)0s	-12.1776		4214.0218	6063.0025	JPL
NH3v=0	Ammonia	12.67421000, 12.67421000	15(10)0a-15(10)0s	-8.1463		1994.7619	2870.0009	JPL
NH3v=0	Ammonia	12.69203690, 12.69203690	24(19)0a-24(19)0s	-13.1267		4543.5278	6537.0854	JPL
NH3v=0	Ammonia	12.92304000, 12.92304000	11(5)0a-11(5)0s	-6.9592		1209.2877	1739.8852	JPL
NH3v=0	Ammonia	12.93381500, 12.93381500	25(20)0a-25(20)0s	-13.7971		4884.3037	7027.3831	JPL
NH3v=0	Ammonia	12.95104800, 12.95104800	14(9)0a-14(-9)0s	-7.4203		1770.5179	2547.3657	JPL
NH3v=0	Ammonia	13.21557100, 13.21557100	26(21)0a-26(21)0s	-14.1883		5236.2322	7533.7268	JPL
NH3v=0	Ammonia	13.29634200, 13.29634200	10(3)0a-10(-3)0s	-6.7072		1051.3131	1512.5963	JPL
NH3v=0	Ammonia	13.29726600, 13.29726600	13(8)0a-13(8)0s	-7.3263		1558.2751	2241.9974	JPL
NH3v=0	Ammonia	13.53285830, 13.53285830	27(22)0a-27(22)0s	-15.2033		5599.1915	8055.9413	JPL
NH3v=0	Ammonia	13.61214600, 13.61214600	9(1)0a-9(1)0s	-7.5503		884.1222	1272.0473	JPL
NH3v=0	Ammonia	13.70088300, 13.70088300	10(4)0a-10(4)0s	-6.6815		1026.2851	1476.5868	JPL
NH3v=0	Ammonia	13.71923000, 13.71923000	12(7)0a-12(7)0s	-6.9638		1358.0782	1953.9604	JPL
NH3v=0	Ammonia	13.88064380, 13.88064380	28(23)0a-28(23)0s	-15.9388		5973.0636	8593.8567	JPL
NH3v=0	Ammonia	13.97460500, 13.97460500	9(2)0a-9(2)0s	-6.9036		873.3569	1256.5585	JPL
NH3v=0	Ammonia	13.99759890, 13.99759890	18(3)0a-18(-3)0s	-11.5636		3280.8971	4720.4519	JPL
NH3v=0	Ammonia	14.22464700, 14.22464700	11(6)0a-11(-6)0s	-6.3366		1169.9677	1683.3129	JPL
NH3v=0	Ammonia	14.25545040, 14.25545040	29(24)0a-29(24)0s	-16.3946		6357.7469	9147.327	JPL
NH3v=0	Ammonia	14.37681700, 14.37681700	9(3)0a-9(-3)0s	-6.1893		855.3854	1230.7017	JPL
NH3v=0	Ammonia	14.66044280, 14.66044280	30(25)0a-30(25)0s	-17.4736		6753.1703	9716.2498	JPL
NH3v=0	Ammonia	14.82252700, 14.82252700	10(5)0a-10(5)0s	-6.3537		993.9798	1430.107	JPL
NH3v=0	Ammonia	15.11553970, 15.11553970	31(26)0a-31(26)0s	-18.2718		7159.3032	10300.5811	JPL
NH3v=0	Ammonia	15.19278200, 15.19278200	16(12)0a-16(12)0s	-7.8843		2149.4866	3092.614	JPL
NH3v=0	Ammonia	15.19539000, 15.19539000	15(11)0a-15(11)0s	-7.7538		1920.1748	2762.6873	JPL
NH3v=0	Ammonia	15.23322900, 15.23322900	8(1)0a-8(1)0s	-7.0377		707.4451	1017.8498	JPL
NH3v=0	Ammonia	15.25838800, 15.25838800	17(13)0a-17(13)0s	-8.6425		2390.7261	3439.7018	JPL
NH3v=0	Ammonia	15.26780800, 15.26780800	14(10)0a-14(10)0s	-7.3491		1702.8456	2450.0009	JPL
NH3v=0	Ammonia	15.39140640, 15.39140640	18(14)0a-18(14)0s	-9.1248		2643.834	3803.8655	JPL
NH3v=0	Ammonia	15.41248600, 15.41248600	13(9)0a-13(-9)0s	-6.6712		1497.5498	2154.6277	JPL
NH3v=0	Ammonia	15.52390000, 15.52390000	9(4)0a-9(4)0s	-6.1226		830.1469	1194.3893	JPL
NH3v=0	Ammonia	15.59187070, 15.59187070	19(15)0a-19(15)0s	-9.3304		2908.7459	4185.0124	JPL
NH3v=0	Ammonia	15.63280600, 15.63280600	12(8)0a-12(8)0s	-6.6252		1304.3345	1876.6356	JPL
NH3v=0	Ammonia	15.63976100, 15.63976100	8(2)0a-8(2)0s	-6.3908		696.602	1002.2491	JPL
NH3v=0	Ammonia	15.67518920, 15.67518920	32(27)0a-32(27)0s	-18.7873		7576.1481	10900.3245	JPL
NH3v=0	Ammonia	15.86042490, 15.86042490	20(16)0a-20(16)0s	-10.162		3185.3914	4583.0413	JPL
NH3v=0	Ammonia	15.93321300, 15.93321300	11(7)0a-11(7)0s	-6.3103		1123.2426	1616.0863	JPL
NH3v=0	Ammonia	16.19832360, 16.19832360	21(17)0a-21(17)0s	-10.716		3473.6928	4997.8403	JPL
NH3v=0	Ammonia	16.31932400, 16.31932400	10(6)0a-10(-6)0s	-5.7303		954.3132	1373.0359	JPL
NH3v=0	Ammonia	16.45509900, 16.45509900	8(3)0a-8(-3)0s	-5.6567		678.4945	976.1966	JPL
NH3v=0	Ammonia	16.45610190, 16.45610190	33(28)0a-33(28)0s	-19.9193		8003.6861	11515.4527	JPL
NH3v=0	Ammonia	16.60724940, 16.60724940	22(18)0a-22(18)0s	-10.992		3773.5634	5429.2848	JPL
