
Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
CH3OHvt=0-2	Methanol	5.00530200, 5.00530200	3(1)--3(1)+vt=0	-8.12380		19.7030	28.3481	JPL
CH3OHvt=0-2	Methanol	5.09137300, 5.09137300	7(1)--7(1)+vt=2	-9.46530		519.4750	747.4043	JPL
CH3OHvt=0-2	Methanol	5.27745700, 5.27745700	10(1)--10(1)+vt=1	-9.23590		314.4640	452.4409	JPL
CH3OHvt=0-2	Methanol	5.32131200, 5.32131200	24(3)--24(3)+vt=0	-8.86870		518.1350	745.4764	JPL
CH3OHvt=0-2	Methanol	5.34427100, 5.34427100	15(2)+-15(2)-vt=0	-8.61570		219.6660	316.0486	JPL
CH3OHvt=0-2	Methanol	5.49424300, 5.49424300	35(4)+-35(4)-vt=0	-9.97890		1070.7490	1540.5601	JPL
CH3OHvt=0-2	Methanol	5.49793200, 5.49793200	29(2)--29(2)+vt=1	-10.01720		905.9740	1303.4870	JPL
CH3OHvt=0-2	Methanol	5.61923400, 5.61923400	30(10)-31(13)E1vt=1-vt=0	-11.43960		1380.6010	1986.3655	JPL
CH3OHvt=0-2	Methanol	5.62920600, 5.62920600	37(-5)-38(-2)E2vt=0	-13.29630		1217.4150	1751.5785	JPL
CH3OHvt=0-2	Methanol	5.91351000, 5.91351000	20(16)-21(17)E1vt=2	-9.74330		1734.9550	2496.1989	JPL
CH3OHvt=0-2	Methanol	5.97266900, 5.97266900	15(12)+-16(9)-vt=0-vt=1	-13.24880		693.9620	998.4508	JPL
CH3OHvt=0-2	Methanol	5.98254500, 5.98254500	38(2)-38(1)E1vt=0	-10.14650		1206.1670	1735.3953	JPL
CH3OHvt=0-2	Methanol	6.10749300, 6.10749300	35(4)+-36(1)+vt=0	-11.13690		1070.7330	1540.5371	JPL
CH3OHvt=0-2	Methanol	6.18112800, 6.18112800	17(-2)-18(-3)E2vt=1	-7.53740		499.1720	718.1930	JPL
CH3OHvt=0-2	Methanol	6.27083000, 6.27083000	30(2)--30(2)+vt=1	-10.00740		954.0170	1372.6098	JPL
CH3OHvt=0-2	Methanol	6.32830500, 6.32830500	11(1)--11(1)+vt=1	-9.16720		332.1370	477.8683	JPL
CH3OHvt=0-2	Methanol	6.33572700, 6.33572700	37(15)+-36(14)-vt=1-vt=2	-10.80220		2184.8290	3143.4635	JPL
CH3OHvt=0-2	Methanol	6.42922500, 6.42922500	19(4)+-18(3)+vt=2	-8.57380		732.0820	1053.2966	JPL
CH3OHvt=0-2	Methanol	6.42962800, 6.42962800	19(4)--18(3)-vt=2	-8.57370		732.0820	1053.2966	JPL
CH3OHvt=0-2	Methanol	6.54373300, 6.54373300	8(1)--8(1)+vt=2	-9.32270		532.3060	765.8652	JPL
CH3OHvt=0-2	Methanol	6.66856400, 6.66856400	5(1)+-6(0)+vt=0	-6.87020		33.8760	48.7397	JPL
CH3OHvt=0-2	Methanol	6.67444500, 6.67444500	22(-6)-21(-8)E2vt=2	-14.49840		1009.0770	1451.8284	JPL
CH3OHvt=0-2	Methanol	6.74512300, 6.74512300	25(3)--25(3)+vt=0	-8.75600		558.3750	803.3725	JPL
CH3OHvt=0-2	Methanol	6.75877200, 6.75877200	36(4)+-36(4)-vt=0	-9.92850		1128.6460	1623.8605	JPL
CH3OHvt=0-2	Methanol	6.78530300, 6.78530300	28(5)+-28(9)+vt=1-vt=0	-10.29570		944.0850	1358.3199	JPL
CH3OHvt=0-2	Methanol	6.78540500, 6.78540500	28(5)--28(9)-vt=1-vt=0	-10.29570		944.0850	1358.3199	JPL
CH3OHvt=0-2	Methanol	6.81713500, 6.81713500	22(14)+-21(12)-vt=1-vt=2	-13.35190		1314.8920	1891.8254	JPL
CH3OHvt=0-2	Methanol	6.85368200, 6.85368200	16(2)+-16(2)-vt=0	-8.49300		245.4320	353.1199	JPL
CH3OHvt=0-2	Methanol	6.92253600, 6.92253600	34(2)-34(1)E1vt=0	-9.14810		972.4550	1399.1378	JPL
CH3OHvt=0-2	Methanol	6.95574800, 6.95574800	24(a3)-23(a4)E1vt=1	-9.19030		1311.3210	1886.6876	JPL
CH3OHvt=0-2	Methanol	7.12072700, 7.12072700	31(2)--31(2)+vt=1	-10.00430		1003.6450	1444.0130	JPL
CH3OHvt=0-2	Methanol	7.28336400, 7.28336400	11(-3)-10(-4)E2vt=0	-7.36240		149.8120	215.5448	JPL
CH3OHvt=0-2	Methanol	7.29385800, 7.29385800	10(-7)-9(-5)E2vt=1	-12.44050		451.9920	650.3119	JPL
CH3OHvt=0-2	Methanol	7.32133000, 7.32133000	39(11)+-40(10)+vt=0	-9.81010		1668.5260	2400.6229	JPL
CH3OHvt=0-2	Methanol	7.32139000, 7.32139000	39(11)--40(10)-vt=0	-9.81010		1668.5260	2400.6229	JPL
CH3OHvt=0-2	Methanol	7.43973200, 7.43973200	38(1)-37(4)E1vt=2	-12.99580		1742.2230	2506.6559	JPL
CH3OHvt=0-2	Methanol	7.47286300, 7.47286300	12(1)--12(1)+vt=1	-9.11290		351.4140	505.6035	JPL
CH3OHvt=0-2	Methanol	7.68228900, 7.68228900	12(4)--13(3)-vt=0	-7.23610		181.4000	260.9926	JPL
CH3OHvt=0-2	Methanol	7.70776900, 7.70776900	16(4)-15(2)E1vt=1	-11.04830		470.9900	677.6457	JPL
CH3OHvt=0-2	Methanol	7.71208200, 7.71208200	29(5)+-29(9)+vt=1-vt=0	-10.29910		990.5980	1425.2414	JPL
CH3OHvt=0-2	Methanol	7.71222400, 7.71222400	29(5)--29(9)-vt=1-vt=0	-10.29910		990.5980	1425.2414	JPL
CH3OHvt=0-2	Methanol	7.71230200, 7.71230200	27(5)+-27(9)+vt=1-vt=0	-10.30090		899.1330	1293.6444	JPL
CH3OHvt=0-2	Methanol	7.71237500, 7.71237500	27(5)--27(9)-vt=1-vt=0	-10.30090		899.1330	1293.6444	JPL
CH3OHvt=0-2	Methanol	7.73989400, 7.73989400	22(-5)-23(-6)E2vt=1	-8.01990		786.3370	1131.3570	JPL
CH3OHvt=0-2	Methanol	7.83089000, 7.83089000	12(4)+-13(3)+vt=0	-7.21950		181.3950	260.9854	JPL
CH3OHvt=0-2	Methanol	7.87757300, 7.87757300	27(17)-26(16)E1vt=2	-11.19600		1960.6980	2820.9908	JPL
CH3OHvt=0-2	Methanol	7.91959700, 7.91959700	39(2)-39(1)E1vt=0	-10.02220		1268.4760	1825.0435	JPL
CH3OHvt=0-2	Methanol	8.05217500, 8.05217500	32(2)--32(2)+vt=1	-10.00780		1054.8570	1517.6952	JPL
CH3OHvt=0-2	Methanol	8.09311000, 8.09311000	30(4)-31(1)E1vt=1	-10.91350		998.7450	1436.9630	JPL
CH3OHvt=0-2	Methanol	8.17640500, 8.17640500	9(1)--9(1)+vt=2	-9.20100		546.7410	786.6338	JPL
CH3OHvt=0-2	Methanol	8.25416400, 8.25416400	37(4)+-37(4)-vt=0	-9.88730		1188.1330	1709.4485	JPL
CH3OHvt=0-2	Methanol	8.34159000, 8.34159000	4(1)--4(1)+vt=0	-7.80800		26.1010	37.5533	JPL
CH3OHvt=0-2	Methanol	8.46575600, 8.46575600	26(3)--26(3)+vt=0	-8.65480		600.2150	863.5705	JPL
CH3OHvt=0-2	Methanol	8.46742100, 8.46742100	6(2)-5(-1)E2vt=1	-12.08200		311.4520	448.1074	JPL
CH3OHvt=0-2	Methanol	8.51107100, 8.51107100	38(a2)-37(a3)E1vt=1	-11.08770		1955.8520	2814.0186	JPL
CH3OHvt=0-2	Methanol	8.52346400, 8.52346400	29(4)+-28(1)+vt=2	-12.62480		1124.8920	1618.4594	JPL
CH3OHvt=0-2	Methanol	8.65560900, 8.65560900	17(2)+-17(2)-vt=0	-8.38640		272.8000	392.4961	JPL
CH3OHvt=0-2	Methanol	8.71062200, 8.71062200	13(1)--13(1)+vt=1	-9.07160		372.2940	535.6449	JPL
CH3OHvt=0-2	Methanol	8.72414400, 8.72414400	40(13)-39(14)E1vt=2	-11.56920		2304.1590	3315.1518	JPL
CH3OHvt=0-2	Methanol	8.84501800, 8.84501800	15(5)-14(7)E1vt=2	-13.26230		779.4580	1121.4597	JPL
CH3OHvt=0-2	Methanol	8.85642500, 8.85642500	26(4)--27(5)-vt=1	-8.28920		899.3910	1294.0156	JPL
CH3OHvt=0-2	Methanol	8.85954900, 8.85954900	26(4)+-27(5)+vt=1	-8.28890		899.3910	1294.0156	JPL
CH3OHvt=0-2	Methanol	9.06978000, 9.06978000	33(2)--33(2)+vt=1	-10.01770		1107.6510	1593.6535	JPL
CH3OHvt=0-2	Methanol	9.23262100, 9.23262100	39(9)--38(10)-vt=0	-10.62740		1542.1370	2218.7784	JPL
CH3OHvt=0-2	Methanol	9.23473500, 9.23473500	39(9)+-38(10)+vt=0	-10.62720		1542.1370	2218.7784	JPL
CH3OHvt=0-2	Methanol	9.31126800, 9.31126800	33(2)-33(1)E1vt=0	-8.61860		917.9210	1320.6760	JPL
CH3OHvt=0-2	Methanol	9.40085400, 9.40085400	6(2)-7(-1)E2vt=0	-10.13710		49.0350	70.5500	JPL
CH3OHvt=0-2	Methanol	9.73524000, 9.73524000	21(9)--20(6)+vt=0-vt=1	-10.05570		662.4590	953.1252	JPL
CH3OHvt=0-2	Methanol	9.73525800, 9.73525800	21(9)+-20(6)-vt=0-vt=1	-10.05570		662.4590	953.1252	JPL
CH3OHvt=0-2	Methanol	9.75708100, 9.75708100	33(19)+-34(20)-vt=2-vt=1	-12.01360		2524.7190	3632.4866	JPL
CH3OHvt=0-2	Methanol	9.79630800, 9.79630800	26(5)+-26(9)+vt=1-vt=0	-10.31520		855.7570	1231.2364	JPL
CH3OHvt=0-2	Methanol	9.79635900, 9.79635900	26(5)--26(9)-vt=1-vt=0	-10.31520		855.7570	1231.2364	JPL
CH3OHvt=0-2	Methanol	9.83814900, 9.83814900	22(a3)-23(a0)E1vt=0-vt=1	-12.55480		991.2270	1426.1463	JPL
CH3OHvt=0-2	Methanol	9.90598400, 9.90598400	40(2)-40(1)E1vt=0	-10.02180		1332.3450	1916.9362	JPL
CH3OHvt=0-2	Methanol	9.93614200, 9.93614200	9(-1)-8(-2)E2vt=0	-6.87400		76.1020	109.4932	JPL
CH3OHvt=0-2	Methanol	9.97872100, 9.97872100	4(3)+-5(2)+vt=0	-7.50600		50.4130	72.5326	JPL
CH3OHvt=0-2	Methanol	9.98895600, 9.98895600	10(1)--10(1)+vt=2	-9.09660		562.7770	809.7059	JPL
CH3OHvt=0-2	Methanol	10.01028900, 10.01028900	38(4)+-38(4)-vt=0	-9.85530		1249.2120	1797.3271	JPL
CH3OHvt=0-2	Methanol	10.04102500, 10.04102500	14(1)--14(1)+vt=1	-9.04200		394.7760	567.9913	JPL
CH3OHvt=0-2	Methanol	10.05829800, 10.05829800	4(3)--5(2)-vt=0	-7.49910		50.4110	72.5298	JPL
CH3OHvt=0-2	Methanol	10.17819100, 10.17819100	34(2)--34(2)+vt=1	-10.03380		1162.0250	1671.8852	JPL
CH3OHvt=0-2	Methanol	10.19724600, 10.19724600	30(9)--30(5)-vt=0-vt=1	-10.31070		1038.6770	1494.4159	JPL
CH3OHvt=0-2	Methanol	10.19744200, 10.19744200	30(9)+-30(5)+vt=0-vt=1	-10.31070		1038.6770	1494.4159	JPL
CH3OHvt=0-2	Methanol	10.41886200, 10.41886200	11(3)--10(1)-vt=2	-14.19120		563.1110	810.1865	JPL
CH3OHvt=0-2	Methanol	10.52744600, 10.52744600	27(3)--27(3)+vt=0	-8.56470		643.6530	926.0678	JPL
CH3OHvt=0-2	Methanol	10.57677500, 10.57677500	33(19)-34(20)E1vt=1-vt=0	-11.36290		2332.1430	3355.4143	JPL
CH3OHvt=0-2	Methanol	10.62924100, 10.62924100	29(a3)-28(a4)E1vt=1	-9.22540		1527.2830	2197.4069	JPL
CH3OHvt=0-2	Methanol	10.78253600, 10.78253600	18(2)+-18(2)-vt=0	-8.29480		301.7710	434.1787	JPL
CH3OHvt=0-2	Methanol	10.82067300, 10.82067300	33(a3)-32(a6)E1vt=1-vt=0	-11.90030		1728.7240	2487.2339	JPL
CH3OHvt=0-2	Methanol	11.01343400, 11.01343400	35(18)-36(15)E1vt=1-vt=2	-15.03450		2371.3920	3411.8845	JPL
CH3OHvt=0-2	Methanol	11.05055400, 11.05055400	14(3)-15(2)E1vt=2	-8.33530		600.2810	863.6655	JPL
CH3OHvt=0-2	Methanol	11.22280700, 11.22280700	16(11)+-17(14)-vt=1-vt=0	-11.70180		924.7550	1330.5085	JPL
CH3OHvt=0-2	Methanol	11.34485500, 11.34485500	25(-8)-26(a1)E2vt=1-vt=0	-12.68830		991.0990	1425.9622	JPL
CH3OHvt=0-2	Methanol	11.36245600, 11.36245600	18(-2)-17(-4)E2vt=1	-10.85370		527.9010	759.5274	JPL
CH3OHvt=0-2	Methanol	11.38209100, 11.38209100	35(2)--35(2)+vt=1	-10.05600		1217.9770	1752.3871	JPL
CH3OHvt=0-2	Methanol	11.39764900, 11.39764900	32(17)-33(14)E1vt=0-vt=1	-11.33310		1841.1710	2649.0191	JPL
CH3OHvt=0-2	Methanol	11.46115400, 11.46115400	33(-9)-34(a2)E2vt=1-vt=0	-10.89540		1452.0850	2089.2144	JPL
CH3OHvt=0-2	Methanol	11.46345200, 11.46345200	15(1)--15(1)+vt=1	-9.02320		418.8610	602.6441	JPL
CH3OHvt=0-2	Methanol	11.75062800, 11.75062800	19(16)+-20(15)+vt=1	-9.77670		1396.8430	2009.7339	JPL
CH3OHvt=0-2	Methanol	11.84248500, 11.84248500	32(2)-32(1)E1vt=0	-8.19290		864.9610	1244.4788	JPL
