
Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H2CO	Formaldehyde	1.06586860, 1.06586860	4(2,2)-4(2,3)	-7.70970		57.0425	82.0710	CDMS
H2CO	Formaldehyde	1.07406280, 1.07406280	43(7,36)-43(7,37)	-12.63600		2693.3877	3875.1618	CDMS
H2CO	Formaldehyde	1.10996100, 1.10996100	34(6,28)-34(6,29)	-11.12480		1738.6354	2501.4941	CDMS
H2CO	Formaldehyde	1.11318970, 1.11318970	10(3,7)-10(3,8)	-7.52970		207.3718	298.3600	CDMS
H2CO	Formaldehyde	1.25715330, 1.25715330	53(8,45)-53(8,46)	-15.64480		3984.2607	5732.4294	CDMS
H2CO	Formaldehyde	1.42868500, 1.42868500	26(5,21)-26(5,22)	-9.04990		1057.3693	1521.3098	CDMS
H2CO	Formaldehyde	1.46446740, 1.46446740	44(7,37)-44(7,38)	-12.60040		2800.0081	4028.5639	CDMS
H2CO	Formaldehyde	1.54735900, 1.54735900	18(4,14)-18(4,15)	-8.42780		546.6455	786.4964	CDMS
H2CO	Formaldehyde	1.55555150, 1.55555150	35(6,29)-35(6,30)	-11.02270		1823.6486	2623.8085	CDMS
H2CO	Formaldehyde	1.67178600, 1.67178600	54(8,46)-54(8,47)	-15.67870		4114.6630	5920.0482	CDMS
H2CO	Formaldehyde	1.94245200, 1.94245200	11(3,8)-11(3,9)	-7.14250		234.1330	336.8632	CDMS
H2CO	Formaldehyde	1.98098920, 1.98098920	45(7,38)-45(7,39)	-12.57660		2909.0455	4185.4435	CDMS
H2CO	Formaldehyde	2.06326200, 2.06326200	27(5,22)-27(5,23)	-8.88510		1123.0504	1615.8097	CDMS
H2CO	Formaldehyde	2.15721750, 2.15721750	36(6,30)-36(6,31)	-10.93460		1911.0939	2749.6220	CDMS
H2CO	Formaldehyde	2.20944630, 2.20944630	55(8,47)-55(8,48)	-15.72300		4247.4596	6111.1118	CDMS
H2CO	Formaldehyde	2.36018600, 2.36018600	19(4,15)-19(4,16)	-8.18170		592.8930	853.0359	CDMS
H2CO	Formaldehyde	2.48340800, 2.48340800	5(2,3)-5(2,4)	-7.08990		69.1824	99.5375	CDMS
H2CO	Formaldehyde	2.65925840, 2.65925840	46(7,39)-46(7,40)	-12.56440		3020.4994	4345.7999	CDMS
H2CO	Formaldehyde	2.90248370, 2.90248370	56(8,48)-56(8,49)	-15.77750		4382.6493	6305.6185	CDMS
H2CO	Formaldehyde	2.93693000, 2.93693000	28(5,23)-28(5,24)	-8.73760		1191.1722	1713.8212	CDMS
H2CO	Formaldehyde	2.96177430, 2.96177430	37(6,31)-37(6,32)	-10.86020		2000.9712	2878.9347	CDMS
H2CO	Formaldehyde	3.22542300, 3.22542300	12(3,9)-12(3,10)	-6.80040		263.3321	378.8740	CDMS
H2CO	Formaldehyde	3.51879400, 3.51879400	20(4,16)-20(4,17)	-7.95960		641.5833	923.0899	CDMS
H2CO	Formaldehyde	3.54346710, 3.54346710	47(7,40)-47(7,41)	-12.56370		3134.3690	4509.6319	CDMS
H2CO	Formaldehyde	4.02766260, 4.02766260	38(6,32)-38(6,33)	-10.79900		2093.2802	3011.7459	CDMS
H2CO	Formaldehyde	4.12427420, 4.12427420	29(5,24)-29(5,25)	-8.60660		1261.7349	1815.3446	CDMS
H2CO	Formaldehyde	4.68801850, 4.68801850	48(7,41)-48(7,42)	-12.57420		3250.6533	4676.9381	CDMS
H2CO	Formaldehyde	4.82964140, 4.82964140	1(1,0)-1(1,1),F=1-0	-6.85640		10.5390	15.1632	CDMS
