
Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H&alpha;	Hydrogen Recombination Line	1.01376730, 1.01376730	H(186)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.03025116, 1.03025116	H(185)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.04709434, 1.04709434	H(184)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.06430668, 1.06430668	H(183)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.08189835, 1.08189835	H(182)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.09987985, 1.09987985	H(181)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.11826206, 1.11826206	H(180)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.13705618, 1.13705618	H(179)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.15627383, 1.15627383	H(178)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.17592701, 1.17592701	H(177)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.19602811, 1.19602811	H(176)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.21658997, 1.21658997	H(175)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.23762588, 1.23762588	H(174)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.25914957, 1.25914957	H(173)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.28117526, 1.28117526	H(172)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.30371768, 1.30371768	H(171)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.32679206, 1.32679206	H(170)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.35041420, 1.35041420	H(169)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.37460043, 1.37460043	H(168)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.39936771, 1.39936771	H(167)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.42473359, 1.42473359	H(166)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.45071626, 1.45071626	H(165)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.47733457, 1.47733457	H(164)&alpha;	0.00000		0.0000	0.0000	Recomb
H&alpha;	Hydrogen Recombination Line	1.50460810, 1.50460810	H(163)&alpha;	0.00000		0.0000	0.0000	Recomb
