
Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
OHv=0	Hydroxyl	1.61223090, 1.61223090	N=1--1+,J=3/2-3/2,F=1-2	-6.77580		0.0018	0.0026	JPL
OHv=0	Hydroxyl	1.66540180, 1.66540180	N=1--1+,J=3/2-3/2,F=1-1	-6.04870		0.0000	0.0000	JPL
OHv=0	Hydroxyl	1.66735900, 1.66735900	N=1--1+,J=3/2-3/2,F=2-2	-5.79240		0.0018	0.0026	JPL
OHv=0	Hydroxyl	1.72052990, 1.72052990	N=1--1+,J=3/2-3/2,F=2-1	-6.71940		0.0000	0.0000	JPL
OHv=0	Hydroxyl	4.66024140, 4.66024140	N=1+-1-,J=1/2-1/2,F=0-1	-6.05350		126.2935	181.7094	JPL
OHv=0	Hydroxyl	4.75066000, 4.75066000	N=1+-1-,J=1/2-1/2,F=1-1	-5.73590		126.2935	181.7094	JPL
OHv=0	Hydroxyl	4.76556180, 4.76556180	N=1+-1-,J=1/2-1/2,F=1-0	-6.03410		126.2930	181.7086	JPL
OHv=0	Hydroxyl	5.44944180, 5.44944180	N=4--4+,J=7/2-7/2,F=3-4	-8.29700		429.2805	617.6429	JPL
OHv=0	Hydroxyl	5.47303640, 5.47303640	N=4--4+,J=7/2-7/2,F=3-3	-6.86180		429.2797	617.6418	JPL
OHv=0	Hydroxyl	5.52344140, 5.52344140	N=4--4+,J=7/2-7/2,F=4-4	-6.74110		429.2805	617.6429	JPL
OHv=0	Hydroxyl	5.54703600, 5.54703600	N=4--4+,J=7/2-7/2,F=4-3	-8.28150		429.2797	617.6418	JPL
OHv=0	Hydroxyl	6.01674820, 6.01674820	N=2+-2-,J=5/2-5/2,F=2-3	-6.37470		83.7246	120.4618	JPL
OHv=0	Hydroxyl	6.03074830, 6.03074830	N=2+-2-,J=5/2-5/2,F=2-2	-5.22650		83.7242	120.4612	JPL
OHv=0	Hydroxyl	6.03509340, 6.03509340	N=2+-2-,J=5/2-5/2,F=3-3	-5.07100		83.7246	120.4618	JPL
OHv=0	Hydroxyl	6.04909350, 6.04909350	N=2+-2-,J=5/2-5/2,F=3-2	-6.37000		83.7242	120.4612	JPL
OHv=0	Hydroxyl	7.74991340, 7.74991340	N=2--2+,J=3/2-3/2,F=1-2	-6.68820		187.4941	269.7639	JPL
OHv=0	Hydroxyl	7.76174340, 7.76174340	N=2--2+,J=3/2-3/2,F=1-1	-5.98790		187.4937	269.7634	JPL
OHv=0	Hydroxyl	7.82012520, 7.82012520	N=2--2+,J=3/2-3/2,F=2-2	-5.72610		187.4941	269.7639	JPL
OHv=0	Hydroxyl	7.83195520, 7.83195520	N=2--2+,J=3/2-3/2,F=2-1	-6.67910		187.4937	269.7634	JPL
OHv=0	Hydroxyl	8.11805670, 8.11805670	N=3+-3-,J=5/2-5/2,F=2-3	-7.33960		288.7734	415.4832	JPL
OHv=0	Hydroxyl	8.13586490, 8.13586490	N=3+-3-,J=5/2-5/2,F=2-2	-6.19150		288.7728	415.4823	JPL
OHv=0	Hydroxyl	8.18958560, 8.18958560	N=3+-3-,J=5/2-5/2,F=3-3	-6.03090		288.7734	415.4832	JPL
OHv=0	Hydroxyl	8.20739390, 8.20739390	N=3+-3-,J=5/2-5/2,F=3-2	-7.33010		288.7728	415.4823	JPL
OHv=0	Hydroxyl	8.50315030, 8.50315030	N=6+-6-,J=11/2-11/2,F=5-6	-9.16710		824.5335	1186.3275	JPL
OHv=0	Hydroxyl	8.53483750, 8.53483750	N=6+-6-,J=11/2-11/2,F=6-6	-7.27730		824.5335	1186.3275	JPL
OHv=0	Hydroxyl	8.58013040, 8.58013040	N=6+-6-,J=11/2-11/2,F=5-5	-7.34630		824.5309	1186.3238	JPL
OHv=0	Hydroxyl	8.61181760, 8.61181760	N=6+-6-,J=11/2-11/2,F=6-5	-9.15610		824.5309	1186.3238	JPL
OHv=0	Hydroxyl	13.43394620, 13.43394620	N=3--3+,J=7/2-7/2,F=4-3	-6.32950		201.9326	290.5379	JPL
OHv=0	Hydroxyl	13.43463720, 13.43463720	N=3--3+,J=7/2-7/2,F=3-3	-4.89810		201.9326	290.5379	JPL
OHv=0	Hydroxyl	13.44141750, 13.44141750	N=3--3+,J=7/2-7/2,F=4-4	-4.78500		201.9324	290.5376	JPL
OHv=0	Hydroxyl	13.44210860, 13.44210860	N=3--3+,J=7/2-7/2,F=3-4	-6.32900		201.9324	290.5376	JPL
OHv=0	Hydroxyl	19.48431970, 19.48431970	N=7--7+,J=13/2-13/2,F=6-7	-9.13950		1077.8605	1550.8109	JPL
OHv=0	Hydroxyl	19.51861960, 19.51861960	N=7--7+,J=13/2-13/2,F=7-7	-7.12090		1077.8605	1550.8109	JPL
OHv=0	Hydroxyl	19.56189190, 19.56189190	N=7--7+,J=13/2-13/2,F=6-6	-7.18180		1077.8579	1550.8072	JPL
OHv=0	Hydroxyl	19.59619180, 19.59619180	N=7--7+,J=13/2-13/2,F=7-6	-9.13460		1077.8579	1550.8072	JPL
OHv=0	Hydroxyl	23.80530690, 23.80530690	N=4+-4-,J=9/2-9/2,F=5-4	-6.47010		355.1219	510.9445	JPL
OHv=0	Hydroxyl	23.81761740, 23.81761740	N=4+-4-,J=9/2-9/2,F=4-4	-4.82620		355.1219	510.9445	JPL
